serialno|hinc|rooms
2772270|42000|3
2772394|91400|6
2772744|58000|5
2773029|64100|4
2773145|10800|3
2773310|29300|4
2773380|80000|2
2773774|110000|9
2774360|10400|4
2774386|37000|4
2774687|29000|7
2774691|39310|6
2775330|18800|4
2775609|139200|8
2775767|121550|8
2775781|77000|6
2775812|52300|8
2776107|95700|4
2776295|71000|5
2776313|204000|9
2776928|115970|8
2777010|92310|5
2778193|140100|7
2778245|56300|7
2778273|50000|6
2778821|185800|6
2778898|36000|3
2778986|25500|5
2779147|381800|9
2779189|53200|7
2779339|2000|5
2779460|79500|9
2779677|71400|5
2780163|7800|2
2780311|7700|3
2780317|13000|7
2780562|13800|3
2780950|39000|3
2781205|58300|5
2781379|108000|6
2781526|25300|7
2781640|40000|3
2781777|28500|3
2782303|180000|5
2782351|80500|6
2782455|84000|7
2782466|67000|9
2782570|110000|7
2782608|154140|4
2782839|54700|7
2783142|25900|9
2783154|48800|6
2783371|71000|6
2783500|70700|4
2783526|80400|7
2783566|45900|4
2783821|89700|6
2783915|58000|4
2784104|12330|5
2784252|39000|3
2784331|53620|7
2784355|80000|8
2784463|21000|5
2784538|17700|3
2784576|40000|9
2784995|102100|7
2785186|25000|5
2785264|41400|6
2785576|48500|8
2785740|55130|4
2786013|62800|7
2786387|82300|5
2786566|109400|5
2786644|58004|4
2786746|3000|2
2786829|38900|3
2786913|6060|5
2787216|75020|6
2787419|24600|3
2787602|33800|6
2787678|103700|7
2787732|22000|6
2787738|26400|5
2788240|31820|4
2788320|149210|7
2788389|170000|9
2788405|82000|7
2788573|15800|4
2788830|97900|9
2788991|21000|5
2788995|118900|9
2789033|35000|3
2789126|50000|4
2789385|23600|6
2789465|97500|7
2789583|58600|7
2789702|73500|6
2789718|400800|8
2789742|30600|5
2790067|104250|4
2790117|74600|6
2790493|38500|4
2790639|46060|6
2790915|8800|6
2790947|44000|5
2791726|100000|7
2791732|65200|5
2792033|7900|5
2792276|15000|7
2792354|68000|8
2792481|19000|5
2792619|60000|5
2792661|45020|7
2792681|900|7
2792764|66900|7
2792786|35000|6
2793133|72350|1
2793324|59400|5
2793497|30130|3
2793559|18000|2
2793734|60400|8
2794013|64000|4
2794045|69300|6
2794115|26200|5
2794189|13300|6
2794639|70000|6
2794703|26000|6
2794709|16000|8
2794900|229000|7
2795191|39800|7
2795577|17300|6
2795649|45400|7
2795866|25200|4
2796281|3890|3
2796310|95650|9
2796358|57000|7
2796390|116500|9
2796432|27800|9
2797171|57000|3
2797177|35000|5
2797251|19600|4
2797759|3000|2
2797838|10000|3
2797884|9000|6
2797970|14420|6
2798171|140000|3
2798193|29600|7
2798289|66000|6
2798317|43800|4
2798392|1600|4
2798452|34900|7
2798490|114000|7
2798713|60000|3
2798717|50600|8
2798725|620|6
2798888|143000|6
2798914|124000|6
2799147|9600|4
2799173|117450|7
2799175|34210|5
2799311|108000|9
2799476|47600|4
2799594|125300|8
2799821|97600|6
2799904|66600|6
2799926|80000|7
2800464|17500|3
2800484|37300|4
2800544|58000|5
2800787|17500|3
2800851|52000|4
2801199|101200|4
2801391|41300|4
2801478|35250|9
2801586|94000|7
2801646|191000|9
2801889|18400|5
2801917|55500|8
2801996|205000|8
2802024|165000|5
2802052|24300|6
2802088|8600|6
2802132|13400|3
2802134|87600|8
2802293|34000|9
2802409|12930|5
2802486|52800|9
2802508|130600|9
2802514|71000|8
2802891|36300|4
2803016|110000|7
2803040|26600|5
2803146|106000|8
2803162|54900|9
2803188|65000|4
2803205|31600|5
2803317|27810|2
2803377|20820|5
2803885|17800|2
2803907|80400|9
2803992|50600|4
2804082|88000|5
2804429|60000|6
2804538|41200|4
2804684|45900|8
2805417|70800|7
2805423|72320|9
2805586|24870|7
2805843|61300|4
2806003|63500|9
2806013|8400|4
2806050|14580|4
2806100|12100|5
2806479|21200|4
2806558|25910|1
2806764|67470|7
2806780|45000|1
2806883|34600|5
2806929|32000|4
2807278|25700|4
2807445|33400|6
2807642|19500|4
2807811|59000|6
2807881|136600|7
2808278|30800|7
2808292|120000|3
2808310|11000|5
2808357|60000|1
2808481|310|4
2808537|90000|8
2808662|14700|3
2808816|10200|7
2808865|94000|3
2809328|28000|5
2809355|4000|4
2809670|7400|7
2809672|3000|2
2810160|16000|3
2810320|24400|8
2810776|31000|2
2810810|40000|7
2811119|26000|7
2811188|16000|4
2811356|7800|6
2811730|43800|5
2811770|50000|9
2811796|14620|6
2811894|85000|8
2812117|17800|5
2812192|47900|6
2812198|99000|2
2812597|25000|6
2812678|116000|9
2813208|167800|9
2813240|7800|3
2813412|58600|7
2813567|15600|3
2814340|32000|1
2814485|44500|2
2814547|65800|4
2814707|8400|2
2815181|28500|5
2815197|92000|3
2815565|22600|6
2815567|10600|1
2815846|35100|7
2815906|43000|3
2815942|72000|4
2816037|29100|6
2816161|15000|4
2816288|61630|3
2816334|6000|7
2816637|18450|7
2816653|14000|4
2816739|71900|9
2816850|50000|5
2816908|10400|2
2816994|94800|7
2817143|60700|3
2817275|13800|4
2817673|85400|9
2818140|45500|9
2818525|92200|9
2818580|44000|7
2818975|65000|5
2818995|54200|4
2819120|37000|5
2819128|66000|7
2819232|65200|6
2819341|64000|5
2819467|82000|9
2819949|28200|7
2820110|6600|8
2820166|64400|6
2820379|61900|4
2820461|151900|5
2820686|34000|5
2820893|60590|4
2820949|8300|6
2821122|230000|8
2821547|95000|5
2821615|63000|6
2821742|9400|1
2821842|70000|4
2821895|19500|4
2821925|54800|6
2821957|26700|9
2822192|10360|4
2822206|188000|9
2822328|53240|4
2822386|80000|6
2822439|22500|3
2822816|79300|7
2822818|22000|4
2823123|196300|3
2823324|24000|7
2823455|64000|7
2824181|6300|7
2824218|30680|6
2824272|14700|4
2824396|10500|3
2824501|47530|4
2824519|200000|9
2824575|297300|7
2824629|181400|9
2825029|14000|4
2825460|69260|7
2825796|174500|6
2825816|20600|6
2825820|12500|4
2825850|86800|5
2826266|71600|5
2826292|5400|3
2826384|73440|2
2826737|11010|5
2826948|98000|5
2827035|52000|6
2827045|62450|5
2827209|155000|5
2827687|71000|8
2827924|52000|5
2828006|8570|5
2828043|31000|6
2828115|129530|3
2828394|58000|5
2828402|194200|7
2828432|39200|6
2828675|39000|5
2828727|49200|5
2828804|147000|5
2829048|33800|4
2829223|145000|8
2829275|42250|1
2829348|82400|9
2829378|217200|5
2829436|89100|9
2829548|23150|6
2829755|44300|3
2829775|45000|4
2829836|5610|7
2830089|138200|5
2830291|26000|4
2830452|52810|5
2830765|191420|9
2830779|46000|7
2830825|43000|5
2830864|129230|7
2831052|36400|4
2831217|74830|6
2831263|43500|7
2831388|113600|5
2831671|8100|3
2831779|179800|7
2831793|22500|7
2831815|58000|5
2831926|100000|8
2832044|34300|5
2832147|78100|7
2832209|53300|6
2832279|79050|3
2832388|83200|7
2832628|54100|3
2832687|46700|6
2832906|62000|4
2832924|26300|4
2833012|15000|5
2833201|55000|4
2833209|343600|6
2833913|20100|7
2834223|52800|4
2834498|12800|6
2834652|55100|3
2834747|52200|6
2834871|17000|1
2835233|76900|6
2836000|25750|9
2836222|132500|6
2836255|14500|4
2837048|82900|7
2837269|60100|6
2837307|17900|2
2837339|19200|6
2837433|56000|6
2837612|94410|7
2837714|113200|7
2837728|130000|9
2838365|172900|6
2838782|75480|8
2838917|98200|9
2839082|53000|4
2839138|25900|5
2839343|52020|3
2839493|50000|7
2839708|73600|5
2839917|35900|7
2839947|116600|7
2840088|91500|7
2840272|66000|5
2840678|63000|7
2840818|10400|4
2840881|49000|6
2841240|42400|5
2841244|137000|9
2842330|56570|6
2842389|59160|7
2842417|14304|4
2842497|7300|7
2842800|96000|7
2842868|28800|8
2843144|7500|8
2843302|7800|3
2843378|44000|4
2843724|123570|9
2843738|62000|4
2844410|104060|9
2844421|122000|5
2844509|59600|5
2845216|41400|5
2845398|82000|6
2845804|15900|7
2845864|88520|7
2845955|7900|5
2845973|24000|4
2846003|14000|6
2846087|75000|5
2846147|55900|3
2846290|83000|2
2846677|15000|1
2846720|64000|5
2846756|24660|6
2846900|35000|5
2847649|125000|4
2847826|50000|6
2847974|102470|5
2848107|17900|9
2848306|40200|4
2848547|20000|7
2848737|17500|6
2849067|35140|5
2849137|285800|7
2849318|44050|6
2849336|140000|3
2849344|40000|4
2849579|49900|4
2849665|32500|8
2849699|18000|3
2849761|96300|8
2849773|154100|5
2849882|18000|4
2849928|37500|5
2850057|31100|4
2850486|4900|5
2850498|34350|7
2850683|75980|7
2850751|341200|9
2850777|52000|6
2850894|69400|5
2850958|33940|3
2850982|44400|8
2851010|39000|8
2851263|20770|1
2851498|15810|5
2851522|14500|4
2851609|41400|6
2851888|355800|8
2851908|98300|7
2852189|62400|4
2852354|14510|7
2852408|47600|6
2852689|5200|3
2852727|47600|2
2852787|11800|6
2852934|92600|7
2853123|55000|9
2853287|11500|4
2853297|104200|6
2853355|125000|5
2853384|57200|6
2853689|333000|7
2854042|91200|7
2854311|141150|8
2854667|56600|6
2854769|137000|6
2854839|46000|2
2854956|6200|2
2855297|75300|7
2855484|47400|8
2855560|5000|6
2856032|55000|4
2856062|17000|4
2856118|27700|6
2856154|24000|9
2856201|12470|1
2856433|30430|3
2856474|7600|7
2856755|69690|7
2856821|54800|9
2857239|208500|6
2857293|2900|2
2857566|84000|5
2857783|11400|1
2857801|82400|8
2857817|140200|6
2857903|322000|9
2858234|70700|6
2858393|87200|5
2858542|125000|9
2858863|53000|5
2858971|70400|4
2859058|484000|9
2859112|51900|8
2859118|25000|6
2859363|38000|5
2859439|141000|5
2859511|20800|7
2859696|42420|6
2859730|99000|7
2859875|26800|8
2860078|27300|6
2860162|66000|7
2860186|24000|4
2860790|108300|6
2860805|64000|9
2861256|100000|8
2861574|83000|8
2861738|126500|6
2861772|124000|9
2861845|3800|6
2861855|78500|8
2861875|52000|5
2862124|45000|4
2862192|72950|7
2862682|80600|5
2862796|39000|2
2862949|63800|5
2863246|85300|9
2863485|32610|7
2863541|70700|5
2863778|74400|6
2863879|28000|6
2864766|87500|6
2864993|62200|9
2865139|46080|7
2865164|55000|1
2865190|79500|5
2865336|132900|5
2865533|59000|6
2865876|82550|5
2865947|28110|6
2866055|18500|5
2866087|25000|7
2866240|57000|3
2866410|10400|5
2866430|23000|5
2866437|11200|6
2866447|27300|4
2866597|95000|6
2866706|7900|3
2866796|35150|5
2866826|53570|6
2866945|60030|6
2867262|35100|7
2867298|50000|5
2867483|44410|9
2867607|21920|2
2867886|23300|4
2868105|3800|1
2868350|22000|8
2868392|19700|8
2868493|59700|6
2868573|60450|6
2868615|36000|5
2868860|71000|7
2868946|40800|5
2869111|1200|5
2869149|19300|5
2869167|35000|3
2869288|40000|4
2869354|20120|5
2869450|63500|3
2869641|111000|9
2869697|104700|5
2869828|205600|9
2869922|77300|8
2870065|57000|8
2870211|34000|8
2870462|58700|9
2870468|122600|9
2870884|67100|4
2871263|36100|3
2872050|58900|8
2872181|54000|6
2872263|34000|6
2872506|725000|8
2873157|34090|8
2873279|161000|6
2873452|60000|7
2873596|37000|5
2873896|48200|6
2874277|30000|1
2874299|77000|7
2874398|73500|5
2874614|160000|8
2874896|12200|5
2875118|46800|9
2875305|85600|3
2875554|5490|3
2875572|107300|7
2875889|64000|3
2876498|15440|5
2876958|54200|7
2876962|46700|4
2877271|189000|9
2877307|9274|3
2877371|70000|5
2877560|48410|4
2877711|127000|8
2878162|108000|8
2878464|78200|5
2878494|32600|7
2878678|7500|3
2878827|55000|6
2878947|18000|6
2879082|35740|9
2879100|44100|6
2879118|142000|5
2879263|116700|8
2879580|34000|3
2879666|27290|4
2879751|13300|4
2879847|342000|5
2880002|19000|3
2880064|132380|6
2880564|66900|7
2880797|38700|4
2880965|80800|8
2881333|9000|4
2881672|39700|6
2881706|81480|7
2881738|53600|8
2882124|69100|4
2882128|18200|4
2882162|19200|5
2882208|55000|2
2882409|347000|4
2882415|108600|5
2882459|26600|5
2882564|310400|8
2882726|29600|6
2882814|42000|5
2883072|23500|3
2883829|22400|5
2883890|5000|1
2883910|45800|6
2884042|35000|5
2884337|81000|6
2884368|181100|8
2884508|94120|5
2885209|130800|7
2885235|92240|9
2885301|6000|4
2885741|17600|5
2886124|105000|7
2886671|46000|4
2886809|95000|4
2887108|36600|2
2887267|137000|8
2887530|78450|9
2887787|57770|8
2887791|16400|2
2888018|44530|6
2888042|17000|4
2888052|18700|4
2888082|12950|8
2888098|122600|6
2888321|49300|6
2888361|23500|6
2888454|70700|8
2888460|65000|6
2888660|27700|5
2888815|91000|9
2889090|70000|5
2889337|91700|6
2889425|59700|6
2889594|90700|7
2889731|7200|5
2889739|149000|7
2889799|209200|8
2889994|30380|7
2890369|55100|4
2890411|8400|5
2890423|7100|3
2890736|79100|7
2890827|73500|6
2890887|19000|3
2890903|60000|6
2891050|49000|4
2891108|50000|6
2891112|42800|4
2891116|158300|8
2891387|10900|3
2891853|18200|4
2891989|33000|1
2891993|75500|8
2892052|17800|4
2892082|45900|6
2892276|61000|4
2892303|8600|5
2892305|85000|5
2892385|32700|4
2892405|75000|4
2892535|9900|3
2893013|58800|9
2893047|46000|8
2893132|28600|7
2893134|53900|4
2893164|216000|7
2893694|34540|2
2893827|20400|6
2894079|9200|3
2894250|82000|6
2894310|26800|4
2894579|57400|5
2894646|134000|6
2894774|338470|9
2894800|40900|5
2894822|51000|5
2895198|75000|3
2895274|282000|5
2895589|37300|4
2895979|33800|7
2896180|36400|4
2896246|43000|3
2896802|57500|9
2896820|12600|6
2897007|86100|8
2897202|20200|5
2897617|16400|4
2897621|33000|2
2897760|145600|8
2898370|54110|3
2898621|117000|5
2898692|49200|5
2898722|35000|9
2898824|48200|6
2898951|28100|3
2899071|26200|7
2899185|25000|6
2899830|37990|5
2899916|10800|8
2900230|25400|9
2900571|49300|6
2900643|6000|8
2900653|13500|3
2900687|87100|7
2900792|31600|4
2901221|79800|6
2901434|57500|7
2901786|59200|9
2901888|40000|4
2902117|39100|8
2902547|18600|5
2902743|55400|6
2903089|122000|8
2903183|24500|4
2903263|136420|2
2903304|39900|6
2903629|7640|7
2903801|74000|6
2903894|15600|8
2903932|65000|7
2904006|168000|6
2904305|20580|6
2904370|39000|6
2904414|7800|2
2904731|130800|9
2904811|3800|3
2904930|7200|3
2904952|52100|6
2904996|76400|4
2905101|74000|9
2905331|159200|8
2905339|76800|6
2906610|13300|5
2906703|40240|9
2906861|13300|4
2906892|125000|9
2907108|108390|6
2907586|57000|7
2907602|46400|6
2907628|35100|6
2907655|55000|7
2907811|18600|3
2907960|562400|8
2908853|30200|6
2909387|10500|4
2910060|49100|5
2910355|89850|5
2910540|28100|5
2910560|22800|6
2910644|8000|8
2910708|88500|9
2910739|10500|3
2910877|19600|6
2910951|16000|3
2911072|46900|6
2911078|15000|4
2911299|109000|6
2911433|38000|3
2911568|33800|5
2911839|92600|7
2911943|33600|4
2912052|45300|5
2912287|80810|5
2912652|88600|9
2912909|24000|5
2912911|15000|5
2913345|100000|9
2913431|8000|2
2913527|102900|9
2913564|70000|6
2913588|80000|8
2913770|89500|6
2913979|35000|3
2914056|62000|9
2914088|40400|6
2914570|202000|7
2914674|110000|6
2914877|17680|5
2914883|41400|4
2915140|87100|6
2915324|72900|6
2915489|32600|5
2915571|6540|5
2915592|45000|7
2915897|50000|4
2915915|36300|4
2916063|72800|6
2916174|72490|6
2916294|26400|8
2916439|32000|8
2916479|160000|9
2916489|70700|7
2916844|38260|6
2916871|32000|4
2916883|451000|9
2917027|12700|4
2917306|23620|3
2917308|11300|3
2917356|15400|2
2917360|67000|5
2917477|23230|6
2917738|82900|4
2917778|56200|8
2918115|9200|5
2918354|7200|2
2918581|41700|7
2919077|30300|6
2919147|32000|8
2919230|85240|9
2919416|96710|7
2919667|21300|5
2919898|25700|4
2919906|5000|3
2920250|80650|3
2920278|21700|7
2920304|61500|5
2920412|10600|3
2920453|102000|9
2920467|116000|4
2920473|127000|9
2920912|176400|8
2920938|76220|5
2920993|16600|6
2921238|15500|4
2921557|11700|7
2922733|30400|7
2923211|55200|8
2923324|16500|1
2923537|355000|8
2923573|163000|6
2924035|10800|5
2924049|11500|5
2924302|74000|4
2924561|41750|7
2924795|30220|4
2924797|59940|6
2924834|10200|2
2924956|18500|5
2924976|107250|9
2925307|37000|2
2925311|23700|6
2925386|92500|8
2925458|100000|6
2925556|40700|5
2926432|50000|4
2926448|52000|9
2926605|127100|5
2926982|19900|9
2927010|2100|6
2927560|55550|5
2927574|26100|7
2927803|21000|6
2927853|6000|4
2928151|60000|9
2928157|36200|5
2928225|54700|2
2928333|156000|7
2928564|7400|1
2928679|24100|8
2928767|81300|7
2928877|103000|7
2929054|10300|2
2929076|165200|2
2929090|67000|8
2929225|69300|3
2929323|73500|9
2929351|41600|8
2929532|8910|7
2929614|29900|4
2929667|14000|1
2929797|85004|9
2929982|101000|8
2930112|28200|6
2930225|86030|7
2930323|64900|5
2930602|30000|8
2930793|38000|5
2931441|12000|5
2931514|45050|2
2931835|12000|4
2932042|14300|6
2932206|80450|4
2932421|16100|8
2932451|48600|4
2932475|162700|7
2932526|6000|5
2932881|9400|3
2933325|40000|6
2933702|85000|5
2934003|13200|2
2934005|210200|8
2934297|95000|8
2934509|37200|3
2934616|39200|5
2934827|73030|5
2935421|8220|5
2935738|50700|6
2935873|105000|8
2936051|81900|5
2936606|78600|4
2936618|165000|4
2936720|152910|8
2936782|31000|4
2936851|35200|5
2936995|13500|3
2937308|72000|9
2937445|125000|7
2937447|11400|6
2938037|6400|3
2938220|70000|7
2938358|43750|4
2938383|37700|4
2938921|152100|9
2939027|11500|2
2939270|18800|6
2939374|34800|5
2939547|203900|6
2939694|44100|4
2940240|36000|6
2940392|7300|4
2940427|88000|7
2940563|76620|5
2940754|19300|3
2941487|78200|7
2941543|121000|5
2941770|13900|2
2941862|92000|4
2942111|31000|5
2942659|41400|5
2942685|125004|7
2943025|62000|8
2943059|38500|6
2943824|20000|6
2944097|19300|4
2944480|324000|8
2944882|45300|6
2945185|75000|5
2945235|36400|5
2945388|7900|3
2945464|71000|7
2946287|19000|6
2946322|37000|6
2946707|82700|7
2946848|62690|4
2946912|8800|3
2946954|51300|4
2947121|24000|6
2947157|116890|4
2947420|38700|5
2947663|17000|6
2947669|7500|5
2947715|15800|8
2947787|21200|5
2947823|51300|6
2948024|152500|6
2948092|78690|3
2948247|12000|1
2948592|72900|6
2949128|37100|4
2949224|53510|3
2949338|24000|7
2949738|105000|6
2949766|79000|5
2949806|48000|5
2949838|107000|5
2950154|32300|6
2950374|55000|2
2950447|35700|4
2950499|65600|9
2950631|37600|5
2950951|56000|5
2951497|60600|5
2951589|21140|9
2951647|68200|6
2951918|44000|4
2951920|15400|6
2952210|29580|9
2952214|58000|9
2952382|10000|1
2952477|93010|9
2952563|78700|6
2952583|93710|7
2952710|17230|3
2952754|68000|9
2952862|60000|5
2953061|46800|4
2953234|338200|5
2953292|108000|8
2953350|20400|6
2953376|164800|8
2953420|130000|4
2953477|80200|8
2953826|40100|6
2953952|53000|9
2953982|780|2
2954300|101000|6
2954312|59800|7
2954318|10700|7
2954625|34000|4
2954824|9700|5
2954850|82000|7
2954982|57000|6
2955396|17430|3
2955486|73700|6
2955976|32000|3
2955986|3100|2
2956285|23700|6
2956452|165500|7
2956512|34300|6
2957054|35700|5
2957119|7300|4
2957534|78000|5
2957679|98000|5
2957852|60000|5
2958307|33000|3
2958779|276700|9
2959028|42000|4
2959117|35600|6
2959163|37900|7
2959269|28720|8
2959295|30100|4
2959347|159000|8
2959394|120060|6
2959440|101500|7
2959576|1300|6
2960542|339400|8
2961534|229000|7
2961630|58100|5
2961795|39530|1
2961841|10800|3
2961922|3400|2
2961934|55000|6
2962273|101100|8
2962474|48200|7
2962484|13200|4
2962590|41600|5
2962913|46700|5
2963186|50600|7
2963211|85200|3
2963219|74700|7
2963345|96600|7
2963626|1500|3
2963666|26900|4
2963976|64000|6
2963982|30500|5
2964261|37600|5
2964373|68000|7
2964528|1200|8
2964632|39000|4
2964799|89700|4
2965327|5400|4
2965520|7200|4
2965592|39400|5
2965783|38000|4
2966024|65500|6
2966214|101700|7
2966676|23500|5
2966815|72000|6
2966895|131300|9
2966937|18900|5
2966939|40000|6
2966959|87000|6
2967102|88500|8
2967138|70400|8
2967650|18000|2
2967963|86300|8
2968397|43800|9
2968405|5300|4
2969063|67920|5
2969067|48500|6
2969087|145000|6
2969423|7600|3
2969822|334000|8
2969971|69000|6
2970047|102200|6
2970619|40800|6
2970706|18000|2
2970899|67000|6
2970961|9800|3
2971049|75900|8
2971089|6200|4
2971178|20000|3
2971262|68600|6
2971290|97000|6
2971429|1300|3
2971459|94290|6
2971650|81200|4
2971846|109840|8
2971878|73100|5
2971953|48000|5
2972081|44700|7
2972583|100200|9
2972878|356800|9
2973079|58000|6
2973270|11620|4
2973376|53000|3
2973503|600|3
2973511|98100|8
2974005|62970|6
2974205|241000|4
2974701|119300|9
2974790|28000|1
2974840|7700|4
2974844|58000|6
2975163|86000|8
2975262|79470|6
2975272|102550|7
2975472|52000|5
2975497|65180|6
2975653|7500|3
2976057|73300|9
2976555|25100|4
2976974|23000|6
2977014|96000|5
2977448|41500|9
2977518|57000|7
2977641|20010|5
2977753|58400|6
2977906|68420|7
2977946|30000|4
2978000|70100|6
2978095|362500|4
2978157|260940|7
2978902|55600|5
2979070|90000|5
2979169|16000|6
2979464|5000|6
2979482|17800|6
2979693|48500|9
2980074|93250|7
2980125|77800|6
2980372|49460|5
2980645|15000|2
2980647|60900|5
2980713|43700|5
2980753|19100|7
2980791|27000|5
2980876|42000|9
2980896|36310|8
2981408|49700|2
2981534|108010|8
2981906|21700|6
2981980|59800|6
2981994|27200|3
2982052|8800|8
2982060|29850|6
2982177|53500|5
2982295|76890|6
2982369|56500|5
2982432|46000|2
2982610|42200|4
2982815|104800|8
2982861|5550|6
2982871|22700|2
2982875|10110|4
2982911|26100|6
2982936|9860|2
2982974|78000|6
2983150|4600|8
2983490|44030|4
2983510|56000|8
2983624|12000|6
2984116|36900|6
2984291|19400|3
2984620|60300|9
2984855|119000|3
2985263|53200|3
2986469|84000|9
2986526|24200|1
2986606|84100|8
2986815|11400|6
2987001|30500|3
2987066|6400|5
2987180|56000|5
2987534|139700|9
2987586|25500|5
2987686|30000|4
2987690|36800|4
2988031|16200|5
2988088|57100|4
2988132|33100|4
2988433|130700|4
2988732|19500|4
2988807|20100|6
2988809|45000|7
2988845|21000|2
2988897|28500|5
2988979|14300|5
2988997|150690|5
2989176|13000|4
2989712|13460|5
2989806|67740|4
2989879|129500|7
2989889|2410|6
2990349|42520|7
2990541|40700|4
2990636|105000|2
2991415|72000|4
2991589|87300|4
2991893|55000|6
2991975|780|2
2992828|49700|4
2992832|62400|6
2993240|43500|9
2993352|63500|7
2993625|43720|9
2993814|18500|6
2993892|39900|7
2994208|59300|6
2994386|44700|8
2995370|52000|4
2995539|53000|6
2995609|80100|7
2995736|27800|3
2996201|26900|5
2996272|44000|5
2996585|42400|7
2996659|53800|5
2996756|129000|5
2997047|290|4
2997237|29700|8
2997332|28800|3
2997507|39000|3
2998047|16000|3
2998227|97000|9
2998456|27000|4
2998551|13800|2
2998677|58630|6
2998689|96320|9
2998874|49500|9
2999016|40000|2
2999213|88000|7
2999310|78600|5
2999555|100000|8
2999974|227000|7
3000050|12400|4
3000161|16200|5
3000191|20020|4
3000259|65900|8
3000328|71000|4
3000629|35700|4
3000745|5900|3
3000964|46220|6
3001040|67000|5
3001044|437000|9
3001099|21700|5
3001161|95850|7
3001311|59000|5
3001352|32300|6
3001382|36300|8
3001404|26900|5
3001558|96000|5
3001809|9590|4
3001858|38050|6
3002257|30000|8
3002452|25000|7
3002490|38680|4
3002514|32000|9
3002584|237900|8
3002914|98900|6
3002950|16320|6
3003042|3600|2
3003137|51200|6
3003436|60000|5
3003464|1800|1
3003723|58000|5
3004036|36740|8
3004199|40000|4
3004403|58000|5
3004472|9350|3
3004520|9400|3
3004984|9900|8
3005092|51800|5
3005383|89150|3
3005688|21000|6
3005690|58900|9
3005943|7800|6
3006092|40300|5
3006313|75010|5
3007002|90000|6
3007224|22000|4
3007578|63100|2
3007600|63100|8
3007913|167000|7
3007917|47000|5
3008022|30000|6
3008078|364990|8
3008106|45600|5
3008126|8600|5
3008204|21200|6
3008297|16100|5
3008497|37600|6
3008630|140000|9
3008666|121000|8
3008706|130400|4
3008720|53800|5
3008722|44200|6
3008851|60000|4
3008903|83630|7
3008999|98500|8
3009764|72000|5
3009829|97420|5
3009921|20800|2
3010222|83700|4
3010413|75000|5
3010433|8800|5
3010576|50000|3
3010614|200500|6
3010734|90100|6
3010959|59610|4
3011300|124000|7
3011308|54000|6
3011310|67000|6
3011320|21700|4
3011335|123200|8
3011399|101300|7
3011521|49600|4
3011756|110000|8
3011879|79000|3
3012128|10800|2
3012132|22200|3
3012270|89000|4
3012375|87290|9
3012449|25000|3
3012587|52000|5
3012664|50620|8
3012780|24000|5
3012822|92000|4
3012869|86200|5
3013007|30000|7
3013111|11400|2
3013266|80000|5
3013403|50000|8
3013515|33900|6
3013547|145000|9
3013583|3800|3
3013666|42000|4
3013822|71500|7
3014190|67500|7
3014324|60700|5
3014384|51700|4
3014429|56400|5
3014519|68000|6
3014599|30000|2
3014609|70100|5
3014918|76300|5
3015012|72800|5
3015417|51200|9
3015464|95000|5
3015602|32000|7
3015929|45800|4
3016319|5200|1
3016441|70100|7
3016454|45200|5
3016512|43000|5
3016528|63000|5
3016771|73300|8
3017006|68000|5
3017297|235100|8
3017325|142500|9
3017484|121000|6
3017506|14800|5
3017612|151160|6
3017640|45840|6
3017805|47400|8
3018349|23800|4
3018363|60000|4
3018483|250300|8
3018690|5900|2
3018714|60000|4
3018967|30200|4
3019174|45000|7
3019389|87000|6
3019608|50300|6
3020182|45300|4
3020256|87400|5
3020280|52800|9
3020829|329200|9
3020853|30000|4
3020995|26800|4
3021025|68600|7
3021027|70000|8
3021170|39400|5
3021236|58000|6
3021359|86000|7
3021451|145000|7
3021570|15000|7
3021576|58700|6
3021616|70000|8
3021650|5500|6
3021818|40700|5
3022180|89700|8
3022280|35000|9
3022371|199000|9
3022849|74220|5
3023081|107600|7
3023256|75600|8
3023537|81040|5
3023601|10700|4
3023889|12000|6
3023977|24000|3
3024132|12700|5
3024270|76000|6
3024334|26000|1
3024346|31850|5
3024521|29600|6
3025222|52800|6
3025246|100000|4
3025284|4900|5
3025517|110000|7
3025535|22500|3
3026087|83500|6
3026161|31500|6
3026653|23450|5
3026694|61700|3
3026894|77000|3
3026997|37000|6
3027127|130000|6
3027236|77000|9
3027240|21300|4
3027663|19770|6
3027794|90000|9
3027916|93600|4
3027940|5400|6
3028326|91800|9
3028476|59900|5
3028617|57000|9
3029075|71000|7
3029101|7200|7
3029201|137900|9
3029227|24740|5
3029256|506030|9
3029356|25400|5
3029625|53050|3
3029786|15000|3
3029888|40000|5
3030569|26400|3
3030749|78000|5
3031014|17430|5
3031049|14830|5
3031155|65000|5
3031183|64500|5
3031583|49400|8
3031866|50800|6
3031910|60000|8
3031934|28860|6
3032006|39200|8
3032030|84500|6
3032115|33300|5
3032141|12000|5
3032289|152000|5
3032384|12000|5
3032426|79800|5
3032647|41600|6
3032663|34700|7
3032707|13300|3
3032743|87400|6
3032801|47100|7
3033344|107370|7
3033659|36000|4
3034032|72000|6
3034478|31000|3
3034598|130100|9
3034713|16000|4
3034821|9600|3
3034865|49000|6
3034904|50500|8
3034926|40000|5
3035375|16400|3
3035418|27300|6
3035492|40000|7
3035552|98120|7
3035673|30500|4
3035719|80370|8
3036022|71100|5
3036152|116000|5
3036223|130000|9
3036430|61000|8
3036737|33000|7
3037018|170000|8
3037271|30000|4
3038014|46260|6
3038072|67060|4
3038319|63700|7
