sl_no,gender,age,address,Medu,Fedu,Mjob,Fjob,famsup,paid,activities,internet,ssc_p,ssc_b,hsc_p,hsc_b,hsc_s,degree_p,degree_t,workex,etest_p,specialisation,mba_p,status,salary
1163,F,18,R,4,4,other,other,no,no,yes,yes,68,Central,91,State,Science,58,Comm&Mgmt,No,94,Mkt&HR,61,Placed,350000
1164,M,18,U,1,3,at_home,health,no,no,no,yes,82,State,67,Central,Science,56,Sci&Tech,No,95,Mkt&HR,88,Not Placed,
1165,F,18,U,1,1,teacher,services,no,yes,yes,no,60,State,73,Private,Commerce,61,Sci&Tech,Yes,51,Mkt&HR,85,Not Placed,
1166,M,18,U,4,3,health,teacher,no,yes,no,no,70,Private,80,State,Arts,73,Sci&Tech,Yes,72,Mkt&HR,93,Not Placed,
1167,M,18,U,3,3,other,other,no,yes,no,yes,73,Private,78,State,Arts,56,Comm&Mgmt,Yes,55,Mkt&HR,51,Placed,200000
1168,F,20,R,4,4,services,other,no,no,yes,no,67,Private,91,State,Commerce,58,Comm&Mgmt,Yes,52,Mkt&HR,90,Placed,400000
1169,M,22,U,3,4,teacher,teacher,yes,yes,no,no,52,Private,55,State,Arts,62,Comm&Mgmt,No,79,Mkt&Fin,55,Placed,300000
1170,M,22,U,4,4,services,teacher,no,no,yes,no,62,State,64,State,Science,87,Comm&Mgmt,Yes,62,Mkt&HR,54,Placed,300000
1171,M,22,U,3,3,at_home,other,no,yes,no,no,65,State,83,Central,Science,89,Comm&Mgmt,No,86,Mkt&Fin,95,Placed,200000
1172,F,19,R,1,1,other,at_home,no,no,no,no,92,Central,81,Private,Commerce,78,Sci&Tech,Yes,59,Mkt&HR,86,Not Placed,
1173,M,20,R,1,2,other,services,no,no,yes,yes,52,Central,84,Central,Science,76,Sci&Tech,No,51,Mkt&HR,60,Placed,300000
1174,F,23,R,2,2,other,teacher,yes,yes,yes,yes,52,State,93,Central,Science,66,Sci&Tech,Yes,58,Mkt&Fin,95,Placed,400000
1175,F,20,U,2,3,services,other,yes,no,yes,yes,73,Private,62,State,Science,56,Comm&Mgmt,No,67,Mkt&HR,58,Placed,400000
1176,M,20,R,2,2,at_home,at_home,no,yes,yes,no,54,Private,55,Private,Commerce,79,Comm&Mgmt,Yes,53,Mkt&Fin,80,Not Placed,
1177,F,18,R,4,4,health,services,no,no,no,no,82,State,66,Private,Arts,91,Sci&Tech,Yes,52,Mkt&HR,72,Placed,500000
1178,M,18,U,1,4,teacher,other,no,no,yes,yes,82,State,80,Central,Science,56,Sci&Tech,No,86,Mkt&Fin,57,Not Placed,
1179,F,19,R,1,1,at_home,other,yes,yes,no,no,86,Private,83,State,Arts,58,Sci&Tech,No,87,Mkt&HR,73,Placed,300000
1180,F,22,R,2,2,teacher,at_home,no,no,yes,no,64,State,76,State,Arts,68,Comm&Mgmt,Yes,51,Mkt&Fin,69,Not Placed,
1181,M,23,R,3,4,services,at_home,no,yes,no,no,70,Private,72,Private,Commerce,64,Sci&Tech,Yes,88,Mkt&Fin,56,Not Placed,
1182,F,19,U,3,2,other,at_home,yes,no,no,no,84,Central,90,State,Commerce,60,Sci&Tech,No,86,Mkt&HR,54,Placed,250000
1183,F,22,R,3,4,health,teacher,yes,no,no,yes,87,Central,86,Private,Commerce,77,Comm&Mgmt,No,74,Mkt&Fin,78,Placed,250000
1184,M,20,U,4,3,health,services,yes,no,yes,no,86,State,76,Central,Commerce,88,Sci&Tech,No,93,Mkt&HR,62,Not Placed,
1185,M,21,R,1,3,services,teacher,yes,yes,yes,yes,68,Private,72,Central,Commerce,85,Sci&Tech,Yes,79,Mkt&HR,54,Not Placed,
1186,M,22,U,4,2,at_home,services,no,no,yes,yes,70,Private,61,Private,Commerce,72,Sci&Tech,Yes,92,Mkt&HR,75,Not Placed,
1187,M,19,R,2,1,services,health,no,yes,yes,yes,52,State,76,State,Commerce,74,Comm&Mgmt,Yes,81,Mkt&Fin,79,Placed,300000
1188,M,22,R,3,3,at_home,health,yes,yes,no,yes,70,State,51,State,Arts,87,Sci&Tech,Yes,65,Mkt&Fin,79,Placed,200000
1189,F,20,U,3,2,health,at_home,yes,no,yes,no,90,Central,85,State,Arts,78,Comm&Mgmt,No,51,Mkt&Fin,68,Placed,500000
1190,F,19,R,2,4,teacher,health,yes,no,no,yes,78,State,56,Private,Science,93,Comm&Mgmt,No,91,Mkt&HR,66,Not Placed,
1191,F,21,U,4,4,at_home,services,yes,no,no,no,89,Central,82,State,Arts,67,Sci&Tech,No,90,Mkt&Fin,78,Not Placed,
1192,F,23,R,2,1,services,services,no,yes,yes,yes,77,State,77,State,Commerce,67,Sci&Tech,No,60,Mkt&Fin,93,Placed,200000
1193,F,22,U,4,3,services,health,yes,yes,yes,no,86,State,79,State,Commerce,74,Comm&Mgmt,No,64,Mkt&Fin,60,Placed,350000
1194,M,19,R,3,2,other,at_home,no,no,yes,no,58,Private,85,Central,Commerce,81,Comm&Mgmt,Yes,92,Mkt&Fin,50,Not Placed,
1195,M,19,R,4,4,health,services,no,yes,no,yes,86,State,85,State,Commerce,63,Sci&Tech,Yes,56,Mkt&Fin,51,Not Placed,
1196,F,19,R,3,1,services,services,yes,no,yes,no,59,Central,64,State,Science,78,Comm&Mgmt,Yes,69,Mkt&Fin,70,Not Placed,
1197,F,22,U,1,1,at_home,at_home,yes,yes,no,no,66,Central,94,Central,Arts,62,Comm&Mgmt,No,83,Mkt&Fin,69,Placed,350000
1198,F,21,U,1,3,other,other,yes,no,no,no,70,Private,85,Central,Arts,63,Sci&Tech,Yes,63,Mkt&Fin,59,Placed,200000
1199,M,19,U,3,2,at_home,at_home,no,no,no,yes,56,State,84,State,Commerce,54,Sci&Tech,No,80,Mkt&Fin,77,Placed,350000
1200,M,22,R,2,2,teacher,health,yes,yes,no,yes,77,Private,71,Private,Science,91,Sci&Tech,No,57,Mkt&HR,55,Not Placed,
1201,M,20,U,3,3,other,services,yes,yes,no,no,89,Central,60,State,Commerce,86,Comm&Mgmt,Yes,54,Mkt&Fin,86,Not Placed,
1202,F,22,U,1,3,other,services,yes,yes,no,no,68,Private,90,State,Science,59,Comm&Mgmt,No,94,Mkt&HR,69,Not Placed,
1203,F,19,R,3,4,services,at_home,no,yes,yes,yes,62,State,66,Private,Science,81,Sci&Tech,No,70,Mkt&HR,70,Placed,400000
1204,F,21,U,1,2,at_home,teacher,no,yes,yes,yes,82,Private,66,State,Arts,71,Comm&Mgmt,Yes,75,Mkt&HR,93,Not Placed,
1205,F,18,U,2,3,services,teacher,no,yes,yes,yes,73,State,89,Central,Arts,62,Sci&Tech,No,83,Mkt&Fin,63,Placed,200000
1206,M,21,R,3,3,teacher,health,no,yes,yes,yes,87,Private,51,Private,Science,74,Sci&Tech,Yes,52,Mkt&HR,56,Not Placed,
1207,F,23,R,2,1,health,other,yes,no,no,no,64,Central,53,Central,Science,95,Sci&Tech,Yes,73,Mkt&Fin,67,Placed,300000
1208,M,23,U,2,2,at_home,other,no,yes,yes,yes,61,Private,72,State,Arts,55,Sci&Tech,No,67,Mkt&Fin,80,Not Placed,
1209,M,18,U,1,1,health,teacher,yes,yes,no,yes,89,State,77,Private,Science,50,Sci&Tech,No,56,Mkt&HR,62,Placed,400000
1210,F,20,R,2,3,other,services,no,no,yes,yes,95,Central,77,Private,Arts,91,Comm&Mgmt,Yes,53,Mkt&Fin,90,Placed,400000
1211,F,20,U,1,2,other,other,no,no,no,no,87,Central,57,Private,Arts,50,Sci&Tech,No,59,Mkt&Fin,77,Placed,350000
1212,F,22,U,3,1,other,services,yes,yes,yes,no,79,State,59,Private,Arts,86,Comm&Mgmt,No,77,Mkt&Fin,68,Placed,300000
1213,F,21,R,3,1,services,services,no,no,yes,yes,95,Private,88,Private,Science,65,Sci&Tech,No,65,Mkt&HR,88,Placed,350000
1214,M,23,U,1,3,health,teacher,no,yes,yes,yes,55,Central,53,State,Arts,75,Comm&Mgmt,Yes,86,Mkt&HR,72,Placed,300000
1215,F,21,R,4,3,health,at_home,yes,yes,yes,no,89,State,88,Private,Commerce,77,Comm&Mgmt,No,92,Mkt&Fin,58,Placed,200000
1216,F,21,R,2,3,services,services,no,yes,yes,no,94,Central,77,State,Science,51,Comm&Mgmt,No,63,Mkt&HR,86,Not Placed,
1217,M,21,U,4,1,teacher,other,yes,no,yes,yes,95,Central,81,Central,Science,69,Comm&Mgmt,Yes,71,Mkt&HR,93,Placed,200000
1218,F,20,R,1,1,teacher,other,no,no,yes,yes,61,Central,84,State,Arts,85,Comm&Mgmt,Yes,79,Mkt&Fin,87,Not Placed,
1219,F,22,R,3,1,other,health,yes,yes,yes,no,79,Central,85,Central,Science,52,Sci&Tech,No,64,Mkt&Fin,54,Not Placed,
1220,M,21,U,2,1,other,at_home,no,yes,no,no,76,Central,90,Private,Arts,58,Comm&Mgmt,Yes,70,Mkt&Fin,57,Placed,350000
1221,M,20,R,2,4,other,services,yes,yes,yes,no,66,State,82,Private,Commerce,74,Comm&Mgmt,No,52,Mkt&HR,91,Placed,200000
1222,F,18,R,1,4,at_home,health,no,no,yes,no,51,Central,65,Private,Arts,77,Sci&Tech,No,79,Mkt&HR,55,Placed,350000
1223,M,21,U,4,2,other,teacher,no,no,no,no,71,State,66,State,Science,85,Comm&Mgmt,Yes,63,Mkt&HR,88,Placed,300000
1224,F,18,R,1,1,services,at_home,yes,yes,no,yes,95,Private,72,Private,Science,65,Comm&Mgmt,No,53,Mkt&HR,58,Not Placed,
1225,F,23,U,3,2,services,at_home,no,yes,yes,no,64,Private,67,State,Commerce,88,Sci&Tech,No,54,Mkt&Fin,75,Not Placed,
1226,M,21,R,2,4,other,teacher,no,yes,yes,no,61,State,55,State,Arts,85,Comm&Mgmt,No,74,Mkt&HR,64,Placed,200000
1227,F,20,R,1,4,at_home,services,no,yes,yes,no,76,State,55,Central,Arts,81,Sci&Tech,No,58,Mkt&HR,60,Not Placed,
1228,F,22,U,1,1,teacher,teacher,no,no,no,yes,61,State,55,State,Commerce,72,Comm&Mgmt,No,51,Mkt&Fin,55,Placed,200000
1229,M,21,R,4,3,at_home,health,yes,yes,no,no,78,Central,95,State,Science,93,Comm&Mgmt,No,79,Mkt&Fin,86,Not Placed,
1230,F,22,R,1,4,services,health,yes,no,yes,no,53,Central,77,Central,Science,83,Sci&Tech,No,81,Mkt&Fin,85,Not Placed,
1231,F,21,R,4,2,teacher,health,no,no,yes,yes,58,State,62,Central,Arts,86,Comm&Mgmt,No,88,Mkt&Fin,66,Placed,250000
1232,M,23,U,1,3,other,teacher,yes,no,no,yes,87,State,75,State,Arts,79,Comm&Mgmt,No,76,Mkt&HR,75,Not Placed,
1233,M,22,R,2,3,teacher,services,no,no,yes,no,55,Central,55,State,Arts,77,Sci&Tech,No,75,Mkt&Fin,51,Placed,400000
1234,M,22,U,2,4,at_home,at_home,yes,no,no,no,78,Private,57,Private,Commerce,62,Comm&Mgmt,Yes,74,Mkt&Fin,50,Not Placed,
1235,F,22,R,3,1,at_home,teacher,yes,no,no,no,84,State,58,State,Science,72,Sci&Tech,Yes,50,Mkt&HR,53,Not Placed,
1236,F,22,U,4,4,other,at_home,no,no,no,yes,58,Private,82,State,Science,54,Comm&Mgmt,No,92,Mkt&Fin,81,Not Placed,
1237,F,23,U,3,1,services,health,no,no,yes,no,81,Private,69,Central,Arts,79,Sci&Tech,No,81,Mkt&HR,92,Placed,250000
1238,M,22,U,4,1,services,services,no,no,yes,yes,92,Central,56,Private,Science,70,Comm&Mgmt,Yes,58,Mkt&HR,62,Placed,200000
1239,F,18,U,2,4,other,at_home,no,yes,no,yes,80,Central,51,Central,Science,58,Sci&Tech,No,74,Mkt&HR,95,Placed,200000
1240,M,21,U,2,2,teacher,teacher,no,yes,no,no,75,Central,65,Central,Arts,58,Sci&Tech,No,64,Mkt&Fin,88,Placed,400000
1241,F,18,R,4,1,health,teacher,yes,yes,yes,yes,70,Central,67,Central,Science,60,Sci&Tech,Yes,84,Mkt&HR,52,Not Placed,
1242,F,22,U,2,1,health,at_home,no,yes,yes,no,77,Central,62,Central,Arts,60,Comm&Mgmt,Yes,65,Mkt&HR,58,Placed,200000
1243,M,22,R,1,1,services,services,no,yes,no,no,55,Private,58,State,Arts,70,Comm&Mgmt,Yes,62,Mkt&HR,91,Placed,255000
1244,F,19,U,2,1,other,health,yes,no,no,yes,83,Private,63,State,Arts,60,Comm&Mgmt,No,86,Mkt&Fin,69,Placed,350000
1245,F,20,U,1,3,teacher,services,yes,yes,yes,yes,93,Private,58,Central,Commerce,63,Sci&Tech,No,61,Mkt&Fin,89,Placed,250000
1246,F,18,R,2,3,at_home,other,yes,no,yes,yes,75,Central,73,State,Commerce,93,Sci&Tech,Yes,50,Mkt&Fin,54,Not Placed,
1247,M,20,R,3,4,teacher,other,no,no,no,yes,81,Private,86,Central,Arts,58,Sci&Tech,Yes,69,Mkt&Fin,81,Not Placed,
1248,M,18,U,4,4,services,at_home,yes,yes,yes,yes,51,Private,60,State,Commerce,91,Sci&Tech,No,82,Mkt&Fin,69,Placed,400000
1249,M,22,R,4,2,services,at_home,yes,no,yes,yes,84,Private,84,Private,Commerce,93,Comm&Mgmt,Yes,50,Mkt&HR,85,Placed,350000
1250,M,21,R,2,4,at_home,at_home,no,no,yes,yes,80,Private,80,Private,Commerce,74,Comm&Mgmt,Yes,75,Mkt&Fin,80,Not Placed,
1251,F,20,U,2,4,other,health,yes,no,no,yes,70,Central,91,Central,Arts,71,Sci&Tech,Yes,73,Mkt&HR,77,Not Placed,
1252,M,21,U,1,2,teacher,teacher,no,yes,yes,yes,62,State,85,Central,Arts,84,Sci&Tech,Yes,79,Mkt&HR,55,Placed,300000
1253,F,23,U,4,1,at_home,services,no,yes,no,yes,91,Private,68,Central,Science,86,Sci&Tech,No,78,Mkt&Fin,92,Not Placed,
1254,F,22,R,2,2,services,other,yes,no,no,yes,72,State,74,State,Science,89,Comm&Mgmt,No,74,Mkt&Fin,57,Placed,400000
1255,M,22,U,4,2,other,other,no,no,no,no,65,State,94,Central,Arts,78,Comm&Mgmt,Yes,67,Mkt&HR,56,Placed,400000
1256,M,21,U,2,3,health,health,no,no,no,no,95,Central,59,Central,Commerce,82,Comm&Mgmt,Yes,53,Mkt&Fin,81,Not Placed,
1257,M,21,U,3,3,at_home,services,no,no,yes,yes,67,Private,85,State,Arts,87,Sci&Tech,Yes,70,Mkt&Fin,53,Placed,400000
1258,M,23,U,4,2,health,teacher,no,yes,yes,no,53,Private,86,Central,Commerce,79,Comm&Mgmt,Yes,94,Mkt&Fin,87,Not Placed,
1259,M,20,R,4,1,at_home,health,yes,yes,no,no,69,Central,73,Private,Arts,84,Comm&Mgmt,Yes,81,Mkt&Fin,61,Not Placed,
1260,M,20,U,3,3,teacher,teacher,yes,no,yes,yes,93,Central,87,Private,Commerce,92,Sci&Tech,No,88,Mkt&Fin,70,Placed,350000
1261,F,20,R,3,4,at_home,health,yes,yes,no,no,57,Central,89,Central,Commerce,69,Comm&Mgmt,No,79,Mkt&HR,69,Placed,450000
1262,M,23,U,4,1,at_home,at_home,no,no,no,no,50,State,94,Private,Science,94,Sci&Tech,No,54,Mkt&Fin,61,Not Placed,
1263,F,19,U,4,4,services,other,yes,yes,no,no,81,Central,82,Private,Science,66,Sci&Tech,No,83,Mkt&HR,92,Not Placed,
1264,F,20,U,3,4,other,health,no,no,no,yes,72,Private,70,Central,Commerce,60,Comm&Mgmt,Yes,52,Mkt&HR,93,Not Placed,
1265,F,21,U,3,3,at_home,other,yes,yes,yes,yes,74,Private,67,Private,Arts,57,Sci&Tech,Yes,83,Mkt&HR,92,Not Placed,
1266,M,21,R,2,4,services,teacher,no,yes,no,no,82,Central,77,Central,Science,79,Sci&Tech,Yes,50,Mkt&Fin,64,Not Placed,
1267,F,19,U,2,2,teacher,other,no,no,no,yes,78,Central,58,Central,Science,92,Sci&Tech,No,82,Mkt&HR,57,Not Placed,
1268,F,19,U,1,3,teacher,teacher,yes,yes,yes,yes,69,State,87,Central,Science,51,Comm&Mgmt,No,88,Mkt&HR,72,Placed,400000
1269,M,18,U,3,4,other,other,no,yes,no,yes,69,Private,90,State,Commerce,87,Sci&Tech,No,94,Mkt&Fin,94,Not Placed,
1270,M,19,R,2,4,services,health,no,yes,yes,yes,81,State,56,State,Commerce,72,Sci&Tech,No,70,Mkt&Fin,71,Placed,400000
1271,M,21,U,2,3,health,teacher,no,yes,yes,no,80,Central,80,State,Science,68,Sci&Tech,Yes,60,Mkt&Fin,65,Not Placed,
1272,M,18,U,2,3,at_home,health,no,no,yes,yes,85,Private,82,Private,Commerce,60,Comm&Mgmt,Yes,76,Mkt&Fin,78,Not Placed,
1273,M,18,U,1,1,other,other,no,yes,yes,no,88,State,75,Central,Arts,74,Comm&Mgmt,Yes,52,Mkt&Fin,91,Not Placed,
1274,F,22,R,3,2,services,other,no,yes,yes,yes,74,Central,66,Private,Commerce,50,Comm&Mgmt,No,84,Mkt&HR,90,Placed,350000
1275,F,23,U,2,1,services,at_home,no,yes,no,yes,90,Private,73,Private,Commerce,55,Sci&Tech,No,72,Mkt&HR,75,Not Placed,
1276,F,21,U,3,4,health,health,yes,no,yes,yes,56,Private,86,Private,Commerce,63,Sci&Tech,No,71,Mkt&Fin,85,Not Placed,
1277,M,20,U,3,3,health,at_home,no,no,no,yes,63,Central,56,Central,Arts,59,Comm&Mgmt,Yes,90,Mkt&Fin,61,Not Placed,
1278,F,20,R,2,1,services,other,no,yes,no,yes,60,Central,83,Central,Arts,74,Sci&Tech,Yes,87,Mkt&HR,88,Placed,250000
1279,M,19,U,1,4,other,health,yes,no,no,no,66,Private,77,Central,Arts,66,Comm&Mgmt,No,68,Mkt&Fin,71,Placed,200000
1280,F,18,R,2,3,other,at_home,no,no,no,yes,78,State,66,Private,Arts,89,Sci&Tech,Yes,93,Mkt&HR,53,Placed,200000
1281,M,18,U,4,3,at_home,teacher,yes,no,no,no,85,Private,87,Private,Commerce,83,Sci&Tech,No,75,Mkt&Fin,84,Placed,300000
1282,M,20,U,3,1,other,at_home,yes,yes,yes,no,57,Private,54,Private,Commerce,64,Sci&Tech,Yes,73,Mkt&HR,94,Placed,350000
1283,F,20,R,2,2,services,health,no,yes,yes,no,87,State,51,Private,Commerce,56,Comm&Mgmt,Yes,60,Mkt&Fin,73,Placed,400000
1284,F,19,U,2,4,other,at_home,yes,no,yes,yes,63,State,92,Private,Commerce,55,Sci&Tech,Yes,70,Mkt&Fin,82,Not Placed,
1285,M,23,R,3,4,other,teacher,no,yes,no,yes,69,Private,60,Private,Commerce,78,Sci&Tech,Yes,58,Mkt&HR,76,Not Placed,
1286,F,23,R,2,3,teacher,teacher,yes,yes,no,yes,50,Private,93,Private,Science,64,Sci&Tech,Yes,62,Mkt&Fin,67,Placed,400000
1287,M,23,U,3,4,services,services,no,no,no,no,79,Central,90,Private,Arts,95,Comm&Mgmt,Yes,70,Mkt&Fin,87,Not Placed,
1288,M,18,U,2,2,teacher,at_home,no,yes,no,yes,87,Private,51,Private,Commerce,51,Sci&Tech,No,65,Mkt&HR,69,Placed,350000
1289,F,23,U,3,3,teacher,teacher,no,no,yes,yes,52,Central,63,Private,Arts,65,Sci&Tech,Yes,51,Mkt&Fin,66,Placed,200000
1290,F,20,U,4,3,at_home,at_home,no,yes,yes,no,56,Private,88,Central,Science,56,Comm&Mgmt,Yes,73,Mkt&Fin,85,Not Placed,
1291,M,23,U,1,2,health,services,yes,yes,no,yes,86,Private,68,Central,Science,94,Comm&Mgmt,No,85,Mkt&HR,53,Placed,400000
1292,F,23,U,3,1,health,at_home,yes,no,yes,yes,60,Central,78,State,Arts,69,Sci&Tech,No,77,Mkt&Fin,54,Placed,250000
1293,F,18,U,2,1,services,services,no,no,yes,yes,61,Central,57,State,Commerce,51,Comm&Mgmt,Yes,89,Mkt&Fin,89,Placed,350000
1294,F,18,U,2,1,services,services,no,no,yes,no,60,Private,95,Private,Commerce,71,Sci&Tech,No,95,Mkt&Fin,51,Not Placed,
1295,M,19,R,4,1,services,other,no,no,yes,no,65,State,71,Private,Arts,55,Sci&Tech,No,86,Mkt&Fin,79,Placed,350000
1296,M,18,U,4,1,teacher,teacher,yes,no,no,yes,55,State,87,Private,Arts,79,Comm&Mgmt,Yes,82,Mkt&Fin,67,Not Placed,
1297,M,21,R,1,1,services,other,no,yes,yes,yes,86,State,65,Central,Science,88,Comm&Mgmt,No,89,Mkt&HR,74,Placed,355000
1298,M,21,U,2,3,teacher,at_home,yes,yes,no,no,74,Private,85,Private,Commerce,95,Sci&Tech,Yes,68,Mkt&Fin,86,Placed,250000
1299,F,23,R,4,1,teacher,health,no,no,no,no,75,Central,65,State,Commerce,64,Sci&Tech,Yes,86,Mkt&Fin,86,Placed,300000
1300,F,23,U,4,4,services,at_home,yes,yes,yes,no,54,Private,87,State,Commerce,52,Sci&Tech,No,76,Mkt&HR,87,Not Placed,
1301,F,19,R,4,2,other,health,yes,yes,yes,no,82,State,73,Central,Arts,62,Comm&Mgmt,No,69,Mkt&Fin,77,Not Placed,
1302,M,21,U,3,1,at_home,health,yes,yes,yes,no,95,State,67,Central,Commerce,53,Comm&Mgmt,Yes,82,Mkt&Fin,72,Not Placed,
1303,F,19,U,3,3,health,services,yes,no,yes,yes,89,Central,71,Central,Commerce,95,Sci&Tech,Yes,83,Mkt&Fin,76,Not Placed,
1304,F,23,U,4,3,other,other,no,yes,yes,no,68,State,94,Central,Commerce,72,Sci&Tech,Yes,69,Mkt&HR,95,Not Placed,
1305,M,20,R,4,4,at_home,services,yes,yes,yes,yes,50,Central,61,Private,Science,94,Comm&Mgmt,Yes,54,Mkt&HR,80,Placed,400000
1306,F,18,R,3,2,other,health,no,yes,yes,no,54,State,68,Private,Commerce,74,Comm&Mgmt,No,81,Mkt&HR,55,Not Placed,
1307,M,23,U,4,1,health,teacher,no,no,yes,yes,70,Central,79,Central,Commerce,57,Comm&Mgmt,Yes,72,Mkt&HR,79,Not Placed,
1308,F,20,U,2,1,services,other,no,no,yes,yes,88,State,93,State,Commerce,83,Comm&Mgmt,Yes,60,Mkt&HR,60,Placed,350000
1309,M,23,R,1,1,services,teacher,yes,no,no,yes,68,Private,90,Private,Science,50,Comm&Mgmt,No,88,Mkt&HR,91,Not Placed,
1310,M,20,U,1,3,at_home,services,yes,no,yes,yes,61,State,52,Central,Commerce,90,Comm&Mgmt,Yes,68,Mkt&Fin,61,Placed,350000
1311,F,18,U,4,4,other,services,no,yes,yes,yes,86,Private,66,State,Commerce,82,Sci&Tech,No,78,Mkt&HR,72,Not Placed,
1312,M,23,R,1,4,other,services,yes,yes,yes,no,52,Private,81,Central,Arts,90,Sci&Tech,No,60,Mkt&HR,82,Placed,300000
1313,M,21,U,2,2,other,at_home,no,yes,yes,yes,73,State,89,Private,Arts,50,Sci&Tech,No,62,Mkt&Fin,52,Placed,400000
1314,M,23,R,2,1,at_home,other,yes,yes,no,no,71,Central,58,Private,Arts,53,Sci&Tech,Yes,50,Mkt&Fin,76,Not Placed,
1315,M,22,U,4,3,health,health,no,yes,yes,yes,50,Central,72,Central,Arts,55,Sci&Tech,Yes,73,Mkt&HR,80,Placed,350000
1316,F,22,R,1,3,health,at_home,no,no,no,no,52,Central,94,Private,Commerce,94,Comm&Mgmt,No,85,Mkt&HR,93,Placed,200000
1317,F,21,U,3,4,at_home,health,no,yes,no,yes,51,Central,59,Central,Science,58,Sci&Tech,Yes,74,Mkt&Fin,57,Not Placed,
1318,F,23,U,1,3,other,teacher,no,yes,yes,yes,83,Private,94,Central,Arts,59,Comm&Mgmt,Yes,74,Mkt&HR,81,Placed,400000
1319,F,22,U,1,3,health,health,no,no,yes,no,59,State,69,Central,Arts,67,Sci&Tech,Yes,50,Mkt&Fin,92,Placed,400000
1320,F,22,U,3,4,health,at_home,yes,no,no,yes,91,State,82,State,Science,55,Comm&Mgmt,No,88,Mkt&Fin,75,Not Placed,
1321,M,23,U,3,4,at_home,teacher,no,yes,yes,yes,64,Central,83,Private,Arts,86,Comm&Mgmt,Yes,59,Mkt&HR,85,Not Placed,
1322,M,19,U,2,4,teacher,other,yes,yes,no,no,55,Private,57,Central,Arts,77,Sci&Tech,Yes,69,Mkt&Fin,54,Not Placed,
1323,M,19,U,4,2,other,services,yes,yes,no,no,72,Private,95,State,Commerce,54,Sci&Tech,Yes,79,Mkt&HR,57,Not Placed,
1324,M,23,U,4,4,services,teacher,no,yes,yes,yes,76,State,89,State,Science,95,Comm&Mgmt,No,86,Mkt&Fin,81,Not Placed,
1325,F,18,R,1,1,services,other,no,no,no,no,87,Private,88,State,Commerce,95,Comm&Mgmt,No,69,Mkt&Fin,50,Not Placed,
1326,M,20,R,4,1,other,other,no,yes,no,yes,80,Private,62,State,Commerce,77,Comm&Mgmt,Yes,59,Mkt&Fin,67,Not Placed,
1327,M,23,U,2,1,at_home,other,yes,no,no,no,71,State,62,Central,Arts,84,Sci&Tech,No,64,Mkt&Fin,69,Not Placed,
1328,M,19,R,2,4,health,at_home,no,no,no,yes,84,Central,92,Central,Commerce,55,Comm&Mgmt,No,53,Mkt&Fin,94,Placed,400000
1329,M,19,R,3,3,services,other,yes,no,yes,yes,67,State,59,Private,Commerce,88,Sci&Tech,Yes,83,Mkt&HR,75,Placed,250000
1330,F,22,R,2,2,teacher,teacher,no,no,no,no,84,Central,62,Private,Commerce,93,Comm&Mgmt,No,80,Mkt&Fin,64,Not Placed,
1331,M,23,U,2,2,teacher,services,no,yes,yes,yes,65,State,77,Private,Science,85,Sci&Tech,Yes,77,Mkt&Fin,84,Not Placed,
1332,F,23,U,2,3,services,health,yes,no,no,yes,54,Private,94,Central,Arts,59,Sci&Tech,No,51,Mkt&HR,75,Not Placed,
1333,M,23,U,1,1,teacher,services,yes,no,no,yes,55,State,64,State,Arts,78,Sci&Tech,Yes,51,Mkt&Fin,65,Not Placed,
1334,F,21,R,3,3,health,teacher,yes,no,no,yes,66,Private,81,State,Arts,74,Sci&Tech,No,82,Mkt&Fin,50,Placed,400000
1335,M,20,U,4,3,at_home,other,yes,no,yes,no,78,Private,70,Private,Arts,56,Comm&Mgmt,Yes,87,Mkt&Fin,78,Not Placed,
1336,M,23,U,1,2,services,at_home,yes,no,yes,no,83,Private,62,Private,Arts,91,Comm&Mgmt,No,57,Mkt&Fin,89,Not Placed,
1337,M,23,U,3,2,services,health,yes,no,no,yes,66,State,94,Private,Commerce,87,Sci&Tech,No,84,Mkt&HR,81,Not Placed,
1338,F,22,R,4,2,at_home,at_home,yes,yes,no,yes,83,State,70,Central,Arts,53,Comm&Mgmt,No,72,Mkt&Fin,74,Placed,250000
1339,M,22,U,3,2,teacher,other,no,no,no,no,83,Private,77,Private,Commerce,80,Sci&Tech,Yes,88,Mkt&HR,90,Not Placed,
1340,F,20,R,3,3,other,at_home,no,yes,no,no,94,Central,52,State,Arts,73,Comm&Mgmt,No,88,Mkt&Fin,79,Placed,300000
1341,M,18,U,4,1,other,other,yes,no,yes,no,67,Private,72,Private,Science,68,Comm&Mgmt,Yes,59,Mkt&Fin,86,Not Placed,
1342,F,22,R,3,2,services,teacher,yes,no,no,no,73,Private,63,Central,Arts,57,Comm&Mgmt,Yes,61,Mkt&Fin,86,Not Placed,
1343,F,23,U,1,1,other,teacher,no,no,yes,yes,51,Central,95,Private,Science,92,Comm&Mgmt,Yes,86,Mkt&Fin,85,Not Placed,
1344,M,23,U,2,1,services,teacher,no,no,no,no,80,Central,78,Central,Science,70,Sci&Tech,No,69,Mkt&Fin,61,Placed,300000
1345,M,20,U,3,3,at_home,health,yes,yes,yes,no,77,State,73,Private,Commerce,68,Comm&Mgmt,Yes,80,Mkt&HR,67,Not Placed,
